	id	title	num_subjects	consents
0	phs000166	SNP Health Association Resource (SHARe) Asthma Resource Project (SHARP)	4046	['NRUP', 'ARR']
1	phs000233	Genome Wide Association Study of Asthma	0	['Analysis']
2	phs000355	Genome Wide Association for Asthma and Lung Function	0	['Analysis']
3	phs000422	NHLBI GO-ESP: Lung Cohorts Exome Sequencing Project (Asthma)	191	['GRU']
4	phs000886	An Omics View of Asthma through Monozygotic Twins	74	['GRU']
5	phs000920	NHLBI TOPMed - NHGRI CCDG: Genes-Environments and Admixture in Latino Asthmatics (GALA II)	4860	['DS-LD-IRB-COL']
6	phs000921	NHLBI TOPMed: Study of African Americans, Asthma, Genes and Environment (SAGE)	2106	['DS-LD-IRB-COL']
7	phs000988	NHLBI TOPMed: The Genetic Epidemiology of Asthma in Costa Rica	4230	['NRUP', 'DS-ASTHMA-IRB-MDS-RD']
8	phs001009	Determinants of Asthma Following RSV Bronchiolitis in Early Life	178	['NRUP', 'DS-AAR-IRB']
9	phs001123	Consortium on Asthma among African-ancestry Populations in the Americas	14548	['NRUP', 'GRU-IRB', 'HMB', 'DS-LD', 'HMB-IRB-NPU', 'DS-FDO-IRB-NPU', 'HMB-IRB', 'DS-FDO-IRB']
10	phs001143	NHLBI TOPMed: The Genetics and Epidemiology of Asthma in Barbados	1527	['NRUP', 'GRU-IRB']
11	phs001156	The EVE Asthma Genetics Consortium: Building Upon GWAS	296	['GRU-NPU']
12	phs001180	Genes-Environments and Admixture in Latino Asthmatics (GALA II) Study	4458	['NRUP', 'DS-LD-IRB-COL']
13	phs001216	A Genome-Wide Association Study for Post-bronchodilator Lung Function in Children with Asthma	447	['DS-ASTHMA-IRB-PUB-NPU-MDS-GSO-RD']
14	phs001274	Genes-environments and Admixture in Latino Asthmatics (GALA II) GWAS Study	4427	['DS-LD-IRB-COL']
15	phs001446	NHLBI TOPMed: Severe Asthma Research Program (SARP)	1882	['GRU']
16	phs001467	NHLBI TOPMed: Study of Asthma Phenotypes and Pharmacogenomic Interactions by Race-Ethnicity (SAPPHIRE)	4857	['NRUP', 'HMB-COL']
17	phs001542	NHLBI TOPMed: Genetics of Asthma in Latino Americans (GALA)	1024	['DS-LD-IRB-COL']
18	phs001602	NHLBI TOPMed: Children&#39;s Health Study (CHS) Integrative Genetic Approaches to Gene-Air Pollution Interactions in Asthma (GAP)	7	['GRU']
19	phs001603	NHLBI TOPMed: Children&#39;s Health Study (CHS) Integrative Genomics and Environmental Research of Asthma (IGERA)	160	['GRU']
20	phs001605	NHLBI TOPMed: Chicago Initiative to Raise Asthma Health Equity (CHIRAH)	292	['DS-ASTHMA-IRB-COL']
21	phs001661	NHLBI TOPMed: Genetic Causes of Complex Pediatric Disorders - Asthma (GCPD-A)	5464	['DS-ASTHMA-GSO']
22	phs001726	NHLBI TOPMed: Childhood Asthma Management Program (CAMP)	2640	['NRUP', 'DS-AST-COPD']
23	phs001727	NHLBI TOPMed: Pathways to Immunologically Mediated Asthma (PIMA)	73	['DS-ASTHMA-IRB-COL']
24	phs001730	NHLBI TOPMed: Pediatric Asthma Controller Trial (PACT)	41	['DS-ASTHMA-IRB-COL']
25	phs001732	NHLBI TOPMed: TReating Children to Prevent EXacerbations of Asthma (TREXA)	89	['DS-ASTHMA-IRB-COL']
26	phs001812	Genetic and Epigenetic Determinants of Pediatric Obesity-Associated Asthma	115	['NRUP', 'GRU-IRB-COL']
27	phs002182	Asthma in the Lives of Families Today (ALOFT)	251	['GRU']
28	phs002224	Sputum RNA-Seq from Asthmatic Patients for Microbes and Genes	116	['GRU']
